fid,cat,field_1,X,stream,reach,seq_order,channel_ty,latitude,longitude,unit_lengt,wetted_wid,max_depth_,pool_crest,LWD_small,LWD_med,LWD_large,root_debri,riparian_s,total_shad,fish_prese,undercut_L,undercut_R,sand,gravel,cobble,boulder,bedrock,dominantSi,dominant_1,understory,understo_1,understo_2,understo_3,understo_4,understo_5,overstoryV,overstor_1,overstor_2,overstor_3,overstor_4,overstor_5,overstor_6,overstor_7,riverDist
"98","98","98","98",Mahogany Creek,MC3-380,"134",SSLS8,41.5419354263365,-119.005599020584,"4.3","2.1","0.24","0.3","0","1","0","0","93","93",N,"3.6","0","95","5","0","0","0",SP,SS,"65","34","1","40","59","1","0","0","45","60","10","40","0","25",6154.69486555055
"99","99","99","99",Mahogany Creek,MC3-380,"135",FTRF7,41.5419354263365,-119.005599020584,"5.7","1.8","0.14",NA,"0","0","0","1","81","81",N,"3.5","0","75","15","6","4","0",SP,SS,"70","30","0","42","57","1","0","40","20","10","15","25","0","40",6154.69486555055
"100","100","100","100",Mahogany Creek,MC3-380,"136",FNRN8,41.541928305901,-119.005490906431,"6.75","1.7","0.23",NA,"0","0","0","0","93","93",N,"0","0","65","30","5","0","0",SS,SS,"80","20","0","40","59","1","0","50","80","1","20","5","25","30",6162.99357779519
"101","101","101","101",Mahogany Creek,MC3-380,"137",FTRF9,41.5419203492327,-119.005430719362,"37","2.1","0.21",NA,"0","0","0","5","92","92",N,"4","10.5","65","29","5","1","0",SS,SP,"80","20","0","33","66","1","0","35","68","18","0","5","70","10",6167.86657653191
"102","102","102","102",Mahogany Creek,MC3-380,"138",SSLS9,41.5416090465178,-119.00520531054,"3","1.4","0.31","0.33","0","0","0","0","81","81",N,"0.3","0","90","10","0","0","0",SS,SS,"70","30","0","75","25","0","0","0","75","80","0","35","3","60",6203.96390250868
"103","103","103","103",Mahogany Creek,MC3-380,"139",FTRF10,41.5415816229102,-119.005228439356,"4.3","2.09","0.16",NA,"0","0","0","0","83","83",N,"4","0","70","18","10","2","0",SS,SS,"58","41","1","69","30","1","0","5","75","80","0","20","50","80",6204.02380642093
"104","104","104","104",Mahogany Creek,MC3-380,"140",FNRN11,41.5415552443575,-119.005191659653,"10.3","1.94","0.21",NA,"1","0","0","2","79","79",Y,"0","7.3","73","25","2","0","0",SS,SS,"45","53","2","53","46","1","0","3","65","70","2","20","57","55",6208.36578804699
"105","105","105","105",Mahogany Creek,MC5-501,"211",SSLS1,41.532078239842,-118.993391894111,"12","2.1","0.55","0.26","0","0","0","1","27","27",Y,"0","6","70","30","0","0","0",SS,ST,"2","98","0","5","94","1","50","0","0","0","4","5","65","4",7963.81958331715
"106","106","106","106",Mahogany Creek,MC5-501,"212",FTRF1,41.532133290181,-118.993333652678,"12.5","1.15","0.14",NA,"0","0","0","1","90","90",N,"5","1","50","50","0","0","0",SS,ST,"15","84","1","5","90","5","65","10","0","0","0","25","65","1",7971.69287088706
"107","107","107","107",Mahogany Creek,MC5-501,"213",SSLS2,41.5321795462787,-118.993263154637,"2.5","1.1","0.24","0.26","0","0","0","0","92","92",N,"0","3.5","50","50","0","0","0",SS,ST,"20","79","1","25","74","1","70","25","0","0","0","0","65","1",7979.80385803859
"108","108","108","108",Mahogany Creek,MC5-501,"214",FTRF2,41.5322245559885,-118.993264536891,"9.25","0.99","0.15",NA,"0","0","0","1","92","92",N,"0","6.5","45","55","0","0","0",SS,ST,"20","79","1","20","79","1","65","20","0","1","0","0","60","15",7982.84200644837
"109","109","109","109",Mahogany Creek,MC5-501,"215",SSLS3,41.5322523927177,-118.993217445961,"3.5","1.5","0.32","0.32","0","0","0","1","55","55",N,"0.5","0.27","70","30","0","0","0",SS,ST,"25","70","5","10","40","50","30","40","0","1","0","35","40","0",7988.04686273076
"110","110","110","110",Mahogany Creek,MC5-501,"216",FTRF3,41.5322260100551,-118.993180676428,"11","1.3","0.17",NA,"0","0","0","2","99","99",N,"3.25","0","60","40","0","0","0",SS,ST,"15","65","20","15","80","5","40","60","0","0","0","45","30","5",7988.76046238781
"111","111","111","111",Mahogany Creek,MC5-501,"217",SSLS4,41.5322890236514,-118.993182611508,"7.5","1.24","0.22","0.24","1","0","0","1","63","63",N,"1.55","4.6","75","25","0","0","0",SS,ST,"5","94","1","10","89","1","20","20","0","1","0","5","80","50",7993.01382430419
"112","112","112","112",Mahogany Creek,MC5-501,"218",FTRF4,41.5323696256877,-118.993209059662,"9.5","0.32","0.11",NA,"0","0","0","0","92","92",N,"8","0","60","40","0","0","0",SS,ST,"20","79","1","20","79","1","50","10","0","5","0","20","90","60",7996.79151244871
"113","113","113","113",Mahogany Creek,MC5-501,"219",FNRN5,41.532344281604,-118.993112389622,"5","1.43","0.23",NA,"1","0","0","2","93","93",N,"0","3","70","30","0","0","0",SS,ST,"20","79","1","20","79","1","60","39","0","1","0","20","90","60",8001.73252773388
"114","114","114","114",Mahogany Creek,MC5-501,"220",SSLS5,41.5324165048567,-118.993102620973,"4","1.6","0.32","0.33","0","0","0","1","71","71",N,"1","0","75","25","0","0","0",SS,ST,"15","84","1","20","75","5","80","20","0","0","0","50","80","50",8007.43907631375
"115","115","115","115",Mahogany Creek,MC5-501,"221",FTRF6,41.5324169202784,-118.993078660769,"30","1.49","0.17",NA,"0","0","0","2","90","90",N,"2","0","70","30","0","0","0",SS,SS,"45","54","1","40","59","1","60","20","0","2","0","30","22","6",8009.13004770556
"116","116","116","116",Mahogany Creek,MC5-501,"222",SSLS6,41.532608453512,-118.992940704112,"6.5","1.35","0.26","0.33","0","0","0","1","42","42",N,"0","0","90","10","0","0","0",SS,SS,"45","54","1","48","48","4","36","17","0","1","0","30","30","5",8032.03617954903
"117","117","117","117",Mahogany Creek,MC5-501,"223",FTRF7,41.5326356670368,-118.992929553198,"58","1.78","0.1",NA,"1","0","0","3","94","94",N,"0","15","65","35","0","0","0",ST,ST,"48","51","1","38","61","1","13","32","40","4","1","8","30","12",8034.70452786675
"118","118","118","118",Mahogany Creek,MC5-501,"223",FTRF7,41.5326356670368,-118.992929553198,"58","1.78","0.1",NA,"1","0","0","3","94","94",N,"0","15","65","35","0","0","0",ST,ST,"48","51","1","38","61","1","13","32","40","4","1","8","30","12",8034.70452786675
"119","119","119","119",Mahogany Creek,MC5-501,"223",FTRF7,41.5326356670368,-118.992929553198,"58","1.78","0.1",NA,"1","0","0","3","94","94",N,"0","15","65","35","0","0","0",ST,ST,"48","51","1","38","61","1","13","32","40","4","1","8","30","12",8034.70452786675
"120","120","120","120",Mahogany Creek,MC5-501,"223",FTRF7,41.5326356670368,-118.992929553198,"58","1.78","0.1",NA,"1","0","0","3","94","94",N,"0","15","65","35","0","0","0",ST,ST,"48","51","1","38","61","1","13","32","40","4","1","8","30","12",8034.70452786675
"121","121","121","121",Mahogany Creek,MC5-501,"223",FTRF7,41.5326356670368,-118.992929553198,"58","1.78","0.1",NA,"1","0","0","3","94","94",N,"0","15","65","35","0","0","0",ST,ST,"48","51","1","38","61","1","13","32","40","4","1","8","30","12",8034.70452786675
"122","122","122","122",Mahogany Creek,MC5-501,"223",FTRF7,41.5326356670368,-118.992929553198,"58","1.78","0.1",NA,"1","0","0","3","94","94",N,"0","15","65","35","0","0","0",ST,ST,"48","51","1","38","61","1","13","32","40","4","1","8","30","12",8034.70452786675
"123","123","123","123",Mahogany Creek,MC5-501,"223",FTRF7,41.5326356670368,-118.992929553198,"58","1.78","0.1",NA,"1","0","0","3","94","94",N,"0","15","65","35","0","0","0",ST,ST,"48","51","1","38","61","1","13","32","40","4","1","8","30","12",8034.70452786675
"124","124","124","124",Mahogany Creek,MC5-501,"223",FTRF7,41.5326356670368,-118.992929553198,"58","1.78","0.1",NA,"1","0","0","3","94","94",N,"0","15","65","35","0","0","0",ST,ST,"48","51","1","38","61","1","13","32","40","4","1","8","30","12",8034.70452786675
"125","125","125","125",Mahogany Creek,MC5-501,"223",FTRF7,41.5326356670368,-118.992929553198,"58","1.78","0.1",NA,"1","0","0","3","94","94",N,"0","15","65","35","0","0","0",ST,ST,"48","51","1","38","61","1","13","32","40","4","1","8","30","12",8034.70452786675
"126","126","126","126",Mahogany Creek,MC5-501,"223",FTRF7,41.5326356670368,-118.992929553198,"58","1.78","0.1",NA,"1","0","0","3","94","94",N,"0","15","65","35","0","0","0",ST,ST,"48","51","1","38","61","1","13","32","40","4","1","8","30","12",8034.70452786675
"127","127","127","127",Mahogany Creek,MC5-501,"224",SSMC7,41.5329050302559,-118.992458361321,"4.75","1.9","0.21","0.27","0","0","0","1","72","72",N,"1.5","0","85","15","0","0","0",SS,SS,"30","70","0","33","66","1","2","7","40","6","1","10","35","5",8075.29024164787
"128","128","128","128",Mahogany Creek,MC5-501,"225",FTRF8,41.5329506629182,-118.992423802436,"5","1.33","0.21",NA,"1","0","0","0","85","85",N,"0","0","70","30","0","0","0",SS,SS,"30","70","0","35","64","1","0","10","40","43","0","10","70","40",8079.16274319098
"129","129","129","129",Mahogany Creek,MC5-501,"226",SSMC8,41.5329508705611,-118.99241182223,"10.5","1.9","0.22","0.31","0","0","0","0","81","81",N,"0","0","85","13","2","0","0",SS,SS,"40","59","1","23","77","0","0","15","60","5","1","6","38","10",8080.15729432972
"130","130","130","130",Mahogany Creek,MC5-501,"227",FTRF9,41.5329717813235,-118.99224465197,"19","1.68","0.12",NA,"0","0","0","3","87","87",N,"3","8","65","31","2","2","0",SS,SS,"35","65","0","43","54","1","1","12","60","10","1","3","28","4",8094.44050234548
"131","131","131","131",Mahogany Creek,MC5-501,"228",SSLS9,41.532837790231,-118.992180606297,"7","2.32","0.37","0.08","0","0","0","0","87","87",Y,"8","0","89","10","1","0","0",SS,SS,"40","59","1","65","31","4","0","26","50","63","0","70","4","1",8096.75254754858
"132","132","132","132",Mahogany Creek,MC5-501,"229",FTRF10,41.5328197863372,-118.992180053684,"34","1.4","0.21",NA,"0","2","0","3","84","84",N,"2","7","65","29","3","3","0",SS,SS,"40","48","1","32","67","1","2","8","63","17","40","25","18","3",8096.39745540058
"133","133","133","133",Mahogany Creek,MC5-501,"229",FTRF10,41.5328197863372,-118.992180053684,"34","1.4","0.21",NA,"0","2","0","3","84","84",N,"2","7","65","29","3","3","0",SS,SS,"40","48","1","32","67","1","2","8","63","17","40","25","18","3",8096.39745540058
"134","134","134","134",Mahogany Creek,MC5-501,"230",SSMC10,41.5329438699524,-118.99177631864,"2.5","1.4","0.2","0.31","1","1","0","0","81","81",Y,"2","1","84","12","2","2","0",ST,SS,"30","0","70","40","59","1","1","1","55","3","0","5","55","2",8131.8176541977
"135","135","135","135",Mahogany Creek,MC5-555,"241",SSMC1,41.5325881493118,-118.988912611862,"2.5","0.2","0.08","0.18","0","0","0","0","81","81",N,"2.5","2.5","70","30","0","0","0",SS,SS,"90","10","0","95","5","0","0","75","3","3","0","5","90","5",8402.12706833619
"136","136","136","136",Mahogany Creek,MC5-555,"242",FTRF1,41.5326321227388,-118.988973891982,"3","0.61","0.04",NA,"0","0","0","0","89","89",N,"0.29","0","30","70","0","0","0",SS,SS,"92","8","0","93","7","0","0","13","80","4","0","25","77","3",8398.49775435951
"137","137","137","137",Mahogany Creek,MC5-555,"243",SSMC2,41.532715213193,-118.988856572853,"3.5","0.89","0.09","0.35","0","0","1","1","90","90",N,"0.5","0","80","20","0","0","0",SS,SS,"90","10","0","85","15","0","0","10","60","4","0","20","30","5",8410.68168476299
"138","138","138","138",Mahogany Creek,MC5-555,"244",FTRF2,41.5327503919592,-118.988905597012,"10","0.74","0.07",NA,"0","0","1","1","68","68",N,"0.8","1.2","70","29","1","0","0",SS,SS,"95","5","0","51","49","0","0","5","80","2","0","35","30","7",8407.77812089989
"139","139","139","139",Mahogany Creek,MC5-555,"245",SSLS3,41.5328244803832,-118.988788001748,"1.9","0.74","0.14","0.3","0","0","0","0","97","97",N,"0","1.9","80","20","0","0","0",SS,SS,"88","12","0","50","50","0","0","10","55","3","0","38","30","5",8419.70308692121
"140","140","140","140",Mahogany Creek,MC5-555,"246",FTRF3,41.5327520501289,-118.988809755452,"6.3","0.95","0.08",NA,"0","1","0","0","98","98",N,"5.3","2","60","40","0","0","0",SS,SS,"95","5","0","70","30","0","0","5","80","1","0","40","40","5",8415.65894689481
"141","141","141","141",Mahogany Creek,MC5-555,"247",SSLS4,41.5326078114135,-118.988817322219,"3","1.01","0.13","0.23","1","1","0","0","96","96",N,"3","0","80","20","0","0","0",SS,SS,"95","5","0","90","10","0","0","5","70","1","0","5","70","15",8410.52620670282
"142","142","142","142",Mahogany Creek,MC5-555,"248",FTRF4,41.5325718035507,-118.988816218867,"13.1","1.1","0.05",NA,"0","1","0","0","92","92",N,"12.5","10","64","35","1","0","0",SS,SS,"80","20","0","90","10","0","0","5","80","40","0","25","70","20",8409.4892343153
"143","143","143","143",Mahogany Creek,MC5-555,"249",SSLS5,41.5325376610304,-118.988707294112,"3","1.21","0.17","0.04","0","0","0","1","92","92",N,"3","2.5","85","15","0","0","0",SS,SS,"55","45","0","80","20","0","0","20","70","20","0","30","70","20",8417.31823410488
"144","144","144","144",Mahogany Creek,MC5-555,"250",FTRF5,41.5325376610304,-118.988707294112,"9.5","0.8","0.09",NA,"0","0","0","0","89","89",N,"0","9.5","80","19","1","0","0",SS,SS,"80","20","0","90","10","0","0","20","60","60","0","40","70","40",8417.31823410488
"145","145","145","145",Mahogany Creek,MC5-555,"251",SSLS6,41.5325372465185,-118.988731254425,"4.75","1.16","0.13","0.3","0","0","0","0","93","93",N,"0.79","0","95","4","0","1","0",SS,SS,"95","4","1","90","9","1","0","0","85","95","0","0","80","90",8415.34807604394
"146","146","146","146",Mahogany Creek,MC5-555,"252",FNRN6,41.5326025400404,-118.988601403353,"7","0.81","0.13",NA,"0","0","0","0","85","85",N,"0.91","3","95","2","1","2","0",SS,SS,"95","4","1","90","9","1","0","0","70","97","0","0","92","85",8427.99866540135
"147","147","147","147",Mahogany Creek,MC5-555,"253",FTRF7,41.5326121637336,-118.988565738648,"27","0.58","0.09",NA,"0","0","0","2","89","89",N,"5","10","50","46","3","1","0",SS,SS,"65","34","1","50","50","5","0","15","60","40","0","65","45","40",8431.21318998973
"148","148","148","148",Mahogany Creek,MC5-555,"253",FTRF7,41.5326121637336,-118.988565738648,"27","0.58","0.09",NA,"0","0","0","2","89","89",N,"5","10","50","46","3","1","0",SS,SS,"65","34","1","50","50","5","0","15","60","40","0","65","45","40",8431.21318998973
"149","149","150","150",Mahogany Creek,MC5-555,"255",SSLS7,41.5327781364994,-118.988343079285,"1.1","2.15","0.13","0.31","0","0","0","1","89","89",N,"1.1","1.1","70","30","0","0","0",SS,SS,"90","9","1","30","20","50","0","50","60","20","0","80","20","60",8454.59618482962
"150","150","151","151",Mahogany Creek,MC5-555,"256",FTRF8,41.5327873456845,-118.988331374854,"9","0.79","0.07",NA,"0","0","0","0","87","87",N,"0","6","60","39","1","0","0",SS,SS,"95","3","2","95","3","2","0","50","80","70","0","50","50","70",8455.84055975319
"151","151","152","152",Mahogany Creek,MC5-555,"256",FTRF8,41.5328810950715,-118.988118488571,"9","0.79","0.07",NA,"0","0","0","0","87","87",N,"0","6","60","39","1","0","0",SS,SS,"95","3","2","95","3","2","0","50","80","70","0","50","50","70",8480.28462440942
"152","152","153","153",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"153","153","154","154",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"154","154","155","155",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"155","155","156","156",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"156","156","157","157",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"157","157","158","158",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"158","158","159","159",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"159","159","160","160",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"160","160","161","161",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"161","161","162","162",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"162","162","163","163",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"163","163","164","164",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"164","164","165","165",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"165","165","166","166",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"166","166","167","167",Mahogany Creek,MC5-555,"257",FNRN9,41.532833806012,-118.98824889222,"2.5","0.83","0.09",NA,"0","0","0","0","79","79",N,"1.5","0","80","19","1","0","0",SS,SS,"95","3","2","60","37","3","0","25","85","50","0","10","70","55",8467.83091923874
"167","167","168","168",Mahogany Creek,MC5-555,"258",FTRF10,41.5328258400683,-118.988188715392,"7","0.91","0.06",NA,"0","0","0","0","89","89",N,"3","2","70","25","2","3","0",SS,SS,"60","35","5","60","35","5","0","40","25","40","0","75","25","40",8472.20789594608
"168","168","170","170",Mahogany Creek,MC5-555,"260",SSLS9,41.5328632983273,-118.988105956862,"4.5","0.82","0.18","0.29","1","0","0","0","82","82",N,"2","0","70","20","3","7","0",SS,SS,"60","39","1","30","69","1","0","50","15","40","0","70","15","85",8480.45408014891
"169","169","171","171",Mahogany Creek,MC5-555,"261",FTRF11,41.5328817166501,-118.988082547897,"10","0.83","0.18",NA,"0","0","0","0","91","91",N,"2","2","60","10","5","25","0",SS,SS,"90","9","1","65","34","1","0","2","10","5","0","80","10","30",8483.14631274047
"170","170","172","172",Summer Camp Creek,SCC1-069,"5001",FTRF1,41.5300295417743,-118.987911287014,"11","0.93","0.12",NA,"0","0","0","0","76","76",N,"1.5","3","60","38","2","0","0",SS,ST,"60","35","5","40","45","15","13","6","0","20","0","70","60","30",261.804554402134
"171","171","173","173",Summer Camp Creek,SCC1-069,"5002",SSLS1,41.5300305775668,-118.987851388514,"3.5","1.26","0.26","0.28","0","0","0","1","94","94",N,"0","1","81","18","1","0","0",SS,SP,"70","28","2","15","80","5","5","7","10","7","0","50","60","10",265.536673702287
"172","172","174","174",Summer Camp Creek,SCC1-069,"5003",FTRF2,41.5300496172787,-118.987792041354,"21","0.82","0.11",NA,"0","0","0","4","84","84",N,"5","10","61","35","3","1","0",SS,SP,"65","35","0","30","68","2","10","5","45","3","1","20","80","10",267.821956935236
"173","173","175","175",Summer Camp Creek,SCC1-069,"5004",SSLS2,41.5298812725646,-118.987631067864,"3","1.47","0.21","0.05","0","0","0","0","83","83",Y,"0","1.9","93","7","0","0","0",SS,SS,"55","45","0","40","59","1","4","0","70","1","1","0","50","5",289.418488716591
"174","174","176","176",Summer Camp Creek,SCC1-069,"5005",FTRF3,41.5298362626823,-118.987629689629,"30","1.5","0.11",NA,"0","0","0","4","90","90",N,"4","14","54","45","1","0","0",SS,SS,"60","40","0","50","45","5","8","1","70","10","2","20","90","5",292.056287934085
"175","175","177","177",Summer Camp Creek,SCC1-069,"5006",SSMC3,41.5296233220504,-118.987443379734,"2.5","2.5","0.15","0.25","1","1","0","2","88","88",N,"2.2","1","75","25","0","0","0",SS,SS,"50","49","1","60","40","0","1","1","70","10","2","15","90","15",318.124028299756
"176","176","178","178",Summer Camp Creek,SCC1-069,"5007",FTRF4,41.5296509493126,-118.987408267691,"17.5","1","0.09",NA,"0","1","0","2","85","85",N,"4.2","0","60","40","0","0","0",SS,SS,"50","48","2","63","36","1","8","0","80","10","0","5","60","18",319.222781331572
"177","177","179","179",Summer Camp Creek,SCC1-069,"5008",SSMC4,41.5296073891433,-118.987323032242,"2","1.6","0.26","0.33","0","0","0","1","92","92",N,"1","0","80","20","0","0","0",SS,SS,"25","74","1","55","45","0","5","0","85","10","0","8","60","10",328.117038425846
"178","178","180","180",Summer Camp Creek,SCC1-069,"5009",FTRF5,41.529571381229,-118.987321929835,"2.75","1","0.07",NA,"0","0","0","0","95","95",N,"1.2","0","60","40","0","0","0",SS,SS,"30","70","0","55","45","0","20","0","83","15","0","2","40","5",330.227155512202
"179","179","181","181",Summer Camp Creek,SCC1-069,"5010",SSLS5,41.5295449965821,-118.987285164186,"1.5","1","0.16","0.29","0","0","0","1","86","86",N,"0","0","70","30","0","0","0",SS,SS,"40","60","0","60","40","0","20","1","60","10","0","0","32","7",334.491177192296
"180","180","182","182",Summer Camp Creek,SCC1-069,"5011",FTRF6,41.5295364087895,-118.987260929364,"2.75","1.8","0.07",NA,"1","0","0","1","88","88",N,"1.5","0","60","36","4","0","0",SS,SS,"60","40","0","60","37","3","15","0","10","20","0","0","28","10",336.806274698369
"181","181","183","183",Summer Camp Creek,SCC1-069,"5012",FNRN7,41.5295625863481,-118.987309674615,"2","0.77","0.2",NA,"0","0","0","1","94","94",N,"0","2.5","65","35","0","0","0",SS,SS,"50","45","5","70","29","1","10","0","15","20","0","0","35","22",331.648507564481
"182","182","184","184",Summer Camp Creek,SCC1-069,"5013",FTRF8,41.5295630005397,-118.987285715379,"6","1","0.08",NA,"0","1","0","0","84","84",N,"0","4","65","35","0","0","0",SS,SS,"50","45","5","85","15","0","10","0","10","30","0","15","20","10",333.436111827116
"183","183","185","185",Summer Camp Creek,SCC1-069,"5014",SSPL6,41.5296266356705,-118.987251705668,"2.75","0.58","0.21","0.06","1","0","0","0","84","84",N,"0","1","70","30","0","0","0",SS,SS,"70","30","0","70","25","5","5","1","6","17","0","10","40","30",332.424606519409
"184","184","186","186",Summer Camp Creek,SCC1-069,"5015",FTRF9,41.5295370300595,-118.987224990523,"30","1.41","0.14",NA,"2","0","0","5","78","78",N,"9.5","0","60","36","2","2","0",SS,SS,"50","50","0","70","30","0","3","1","68","7","10","15","80","20",339.487666311611
"185","185","187","187",Summer Camp Creek,SCC1-069,"5016",SSMC7,41.5293456126495,-118.986835581084,"4.5","1.05","0.18","0.39","1","0","0","1","74","74",N,"1.3","1.75","65","33","1","1","0",SS,SS,"40","60","0","40","58","2","0","0","73","2","0","40","70","15",379.694723386928
"186","186","188","188",Summer Camp Creek,SCC1-069,"5017",FTRF10,41.529283012868,-118.986809693223,"8.6","1.1","0.09",NA,"1","0","0","2","76","76",N,"4.5","2","60","39","1","0","0",SS,SS,"48","52","0","65","35","0","1","3","75","30","0","15","70","20",385.175103266532
"187","187","189","189",Summer Camp Creek,SCC1-069,"5018",SSLS8,41.5293474760202,-118.986727764847,"2.9","1.2","0.17","0.25","0","0","0","0","91","91",N,"1.1","0.6","65","33","2","0","0",SS,SS,"63","37","0","70","30","0","0","18","68","29","0","5","40","30",387.738796809279
"188","188","190","190",Summer Camp Creek,SCC1-069,"5019",FNRN11,41.5292492823445,-118.986676815909,"3.7","0.36","0.03",NA,"0","0","0","2","100","100",N,"0","7","70","30","0","0","0",SS,SS,"65","35","0","75","25","0","1","10","43","7","0","0","25","20",397.116894601656
"189","189","191","191",Summer Camp Creek,SCC1-069,"5020",SSLS9,41.5292226904534,-118.986652030263,"2.3","1.91","0.13","0.38","0","0","0","1","90","90",N,"0","1.3","80","20","0","0","0",SS,SS,"55","45","0","80","20","0","2","2","60","27","0","0","25","15",400.487120509641
"190","190","192","192",Summer Camp Creek,SCC4-15-7,"5121",SSLS1,41.5045984842512,-118.9798482952,"2.5","1.6","0.23","0.27","0","0","0","0","97","97",Y,"0","0","60","39","1","0","0",SS,SS,"50","49","1","45","54","1","22","1","55","0","20","15","35","0",3408.22022420814
"191","191","193","193",Summer Camp Creek,SCC4-15-7,"5122",FTRF1,41.504580480134,-118.979847746551,"10.75","1.7","0.11",NA,"0","0","0","1","80","80",N,"0","0","60","30","2","8","0",ST,SS,"50","49","1","50","49","1","12","0","43","3","3","0","60","3",3409.86763060521
"192","192","194","194",Summer Camp Creek,SCC4-15-7,"5122",FTRF1,41.504580480134,-118.979847746551,"10.75","1.7","0.11",NA,"0","0","0","1","80","80",N,"0","0","60","30","2","8","0",ST,SS,"50","49","1","50","49","1","12","0","43","3","3","0","60","3",3409.86763060521
"193","193","195","195",Summer Camp Creek,SCC4-15-7,"5123",FTRP2,41.5045371195509,-118.979750574461,"26.5","1","0.13",NA,"0","1","1","2","72","72",N,"0","0","40","35","10","15","0",ST,SS,"50","49","1","45","54","1","2","1","57","6","1","3","50","3",3418.95777696926
"194","194","196","196",Summer Camp Creek,SCC4-15-7,"5123",FTRP2,41.5045371195509,-118.979750574461,"26.5","1","0.13",NA,"0","1","1","2","72","72",N,"0","0","40","35","10","15","0",ST,SS,"50","49","1","45","54","1","2","1","57","6","1","3","50","3",3418.95777696926
"195","195","197","197",Summer Camp Creek,SCC4-15-7,"5123",FTRP2,41.5045371195509,-118.979750574461,"26.5","1","0.13",NA,"0","1","1","2","72","72",N,"0","0","40","35","10","15","0",ST,SS,"50","49","1","45","54","1","2","1","57","6","1","3","50","3",3418.95777696926
"196","196","198","198",Summer Camp Creek,SCC4-15-7,"5123",FTRP2,41.5045371195509,-118.979750574461,"26.5","1","0.13",NA,"0","1","1","2","72","72",N,"0","0","40","35","10","15","0",ST,SS,"50","49","1","45","54","1","2","1","57","6","1","3","50","3",3418.95777696926
