"";"X.";"Date.Time..PST.PDT.";"Ch..1...Differential.Pressure....psi.";"Ch..2...Absolute.Pressure....psi.";"Ch..3...Temperature.....F..";"Water.Level....ft.";"Barometric.Pressure....psi."
"709";709;"07/12/2022 21:53:29";"0.1134";"11.5797";"50.49";0,5262;"11.4662"
"710";710;"07/12/2022 22:08:29";"0.1123";"11.5800";"50.31";0,5236;"11.4677"
"711";711;"07/12/2022 22:23:29";"0.1142";"11.5828";"50.14";0,528;"11.4686"
"712";712;"07/12/2022 22:38:29";"0.1137";"11.5825";"49.96";0,5267;"11.4689"
"713";713;"07/12/2022 22:53:29";"0.1125";"11.5816";"49.78";0,524;"11.4692"
"714";714;"07/12/2022 23:08:29";"0.1127";"11.5801";"49.60";0,5245;"11.4674"
"715";715;"07/12/2022 23:23:29";"0.1121";"11.5804";"49.43";0,5232;"11.4683"
"716";716;"07/12/2022 23:38:29";"0.1129";"11.5826";"49.25";0,5249;"11.4697"
"717";717;"07/12/2022 23:53:29";"0.1119";"11.5832";"49.25";0,5227;"11.4713"
"718";718;"07/13/2022 00:08:29";"0.1126";"11.5829";"49.07";0,5244;"11.4703"
"719";719;"07/13/2022 00:23:29";"0.1124";"11.5833";"48.89";0,5238;"11.4709"
"720";720;"07/13/2022 00:38:29";"0.1135";"11.5842";"48.72";0,5263;"11.4707"
"721";721;"07/13/2022 00:53:29";"0.1155";"11.5877";"48.54";0,5308;"11.4722"
"722";722;"07/13/2022 01:08:29";"0.1132";"11.5861";"48.36";0,5257;"11.4729"
"723";723;"07/13/2022 01:23:29";"0.1134";"11.5849";"48.36";0,5262;"11.4715"
"724";724;"07/13/2022 01:38:29";"0.1116";"11.5815";"48.18";0,5221;"11.4699"
"725";725;"07/13/2022 01:53:29";"0.1152";"11.5868";"48.00";0,5302;"11.4716"
"726";726;"07/13/2022 02:08:29";"0.1136";"11.5871";"47.82";0,5266;"11.4735"
"727";727;"07/13/2022 02:23:29";"0.1131";"11.5859";"47.82";0,5254;"11.4728"
"728";728;"07/13/2022 02:38:29";"0.1132";"11.5850";"47.65";0,5257;"11.4718"
"729";729;"07/13/2022 02:53:29";"0.1137";"11.5828";"47.47";0,5267;"11.4692"
"730";730;"07/13/2022 03:08:29";"0.1138";"11.5841";"47.47";0,5269;"11.4703"
"731";731;"07/13/2022 03:23:29";"0.1140";"11.5838";"47.29";0,5276;"11.4697"
"732";732;"07/13/2022 03:38:29";"0.1141";"11.5807";"47.29";0,5278;"11.4665"
"733";733;"07/13/2022 03:53:29";"0.1138";"11.5801";"47.29";0,5271;"11.4662"
"734";734;"07/13/2022 04:08:29";"0.1124";"11.5798";"47.11";0,5237;"11.4674"
"735";735;"07/13/2022 04:23:29";"0.1149";"11.5832";"46.93";0,5296;"11.4683"
"736";736;"07/13/2022 04:38:29";"0.1133";"11.5826";"46.93";0,5259;"11.4693"
"737";737;"07/13/2022 04:53:29";"0.1141";"11.5832";"46.93";0,5276;"11.4691"
"738";738;"07/13/2022 05:08:29";"0.1124";"11.5823";"46.75";0,5239;"11.4699"
"739";739;"07/13/2022 05:23:29";"0.1142";"11.5829";"46.75";0,5279;"11.4687"
"740";740;"07/13/2022 05:38:29";"0.1136";"11.5829";"46.75";0,5266;"11.4693"
"741";741;"07/13/2022 05:53:29";"0.1136";"11.5829";"46.75";0,5266;"11.4693"
"742";742;"07/13/2022 06:08:29";"0.1145";"11.5860";"46.75";0,5287;"11.4715"
"743";743;"07/13/2022 06:23:29";"0.1118";"11.5842";"46.75";0,5225;"11.4723"
"744";744;"07/13/2022 06:38:29";"0.1129";"11.5848";"46.75";0,5249;"11.4719"
"745";745;"07/13/2022 06:53:29";"0.1126";"11.5848";"46.75";0,5242;"11.4722"
"746";746;"07/13/2022 07:08:29";"0.1147";"11.5863";"46.57";0,5291;"11.4716"
"747";747;"07/13/2022 07:23:29";"0.1164";"11.5879";"46.75";0,533;"11.4715"
"748";748;"07/13/2022 07:38:29";"0.1133";"11.5854";"46.75";0,526;"11.4721"
"749";749;"07/13/2022 07:53:29";"0.1147";"11.5885";"46.75";0,5291;"11.4738"
"750";750;"07/13/2022 08:08:29";"0.1137";"11.5872";"46.75";0,5269;"11.4735"
"751";751;"07/13/2022 08:23:29";"0.1122";"11.5879";"46.75";0,5233;"11.4757"
"752";752;"07/13/2022 08:38:29";"0.1153";"11.5922";"47.11";0,5305;"11.4768"
"753";753;"07/13/2022 08:53:29";"0.1128";"11.5912";"47.29";0,5247;"11.4784"
"754";754;"07/13/2022 09:08:29";"0.1132";"11.5912";"47.65";0,5256;"11.4780"
"755";755;"07/13/2022 09:23:29";"0.1142";"11.5915";"47.82";0,5279;"11.4773"
"756";756;"07/13/2022 09:38:29";"0.1148";"11.5920";"48.18";0,5292;"11.4773"
"757";757;"07/13/2022 09:53:29";"0.1150";"11.5914";"48.54";0,5297;"11.4764"
"758";758;"07/13/2022 10:08:29";"0.1137";"11.5944";"48.89";0,5267;"11.4808"
"759";759;"07/13/2022 10:23:29";"0.1168";"11.5987";"49.25";0,5339;"11.4819"
"760";760;"07/13/2022 10:38:29";"0.1156";"11.5990";"49.43";0,5312;"11.4834"
"761";761;"07/13/2022 10:53:29";"0.1149";"11.5999";"49.60";0,5297;"11.4850"
"762";762;"07/13/2022 11:08:29";"0.1144";"11.5986";"49.96";0,5284;"11.4842"
"763";763;"07/13/2022 11:23:29";"0.1137";"11.5999";"49.96";0,5269;"11.4861"
"764";764;"07/13/2022 11:38:29";"0.1137";"11.6014";"50.14";0,5267;"11.4877"
"765";765;"07/13/2022 11:53:29";"0.1155";"11.6032";"50.14";0,531;"11.4877"
"766";766;"07/13/2022 12:08:29";"0.1131";"11.6001";"50.49";0,5255;"11.4870"
"767";767;"07/13/2022 12:23:29";"0.1142";"11.5985";"51.37";0,528;"11.4842"
"768";768;"07/13/2022 12:38:29";"0.1178";"11.6011";"52.25";0,5361;"11.4834"
"769";769;"07/13/2022 12:53:29";"0.1175";"11.5989";"53.13";0,5355;"11.4813"
"770";770;"07/13/2022 13:08:29";"0.1210";"11.6003";"54.00";0,5435;"11.4793"
"771";771;"07/13/2022 13:23:29";"0.1180";"11.5955";"54.87";0,5366;"11.4776"
"772";772;"07/13/2022 13:38:29";"0.1165";"11.5939";"55.74";0,5331;"11.4774"
"773";773;"07/13/2022 13:53:29";"0.1193";"11.5969";"56.43";0,5397;"11.4776"
"774";774;"07/13/2022 14:08:29";"0.1196";"11.5947";"56.95";0,5402;"11.4751"
"775";775;"07/13/2022 14:23:29";"0.1191";"11.5897";"57.30";0,5391;"11.4706"
"776";776;"07/13/2022 14:38:29";"0.1200";"11.5893";"57.47";0,5413;"11.4693"
"777";777;"07/13/2022 14:53:29";"0.1194";"11.5869";"57.47";0,5399;"11.4674"
"778";778;"07/13/2022 15:08:29";"0.1206";"11.5912";"57.47";0,5425;"11.4706"
"779";779;"07/13/2022 15:23:29";"0.1204";"11.5900";"57.47";0,542;"11.4696"
"780";780;"07/13/2022 15:38:29";"0.1200";"11.5890";"57.30";0,5413;"11.4690"
"781";781;"07/13/2022 15:53:29";"0.1209";"11.5884";"57.30";0,5432;"11.4676"
"782";782;"07/13/2022 16:08:29";"0.1186";"11.5891";"56.95";0,5381;"11.4705"
"783";783;"07/13/2022 16:23:29";"0.1154";"11.5863";"56.78";0,5307;"11.4709"
"784";784;"07/13/2022 16:38:29";"0.1163";"11.5839";"56.43";0,5328;"11.4676"
"785";785;"07/13/2022 16:53:29";"0.1176";"11.5876";"56.09";0,5358;"11.4700"
"786";786;"07/13/2022 17:08:29";"0.1153";"11.5849";"55.91";0,5304;"11.4696"
"787";787;"07/13/2022 17:23:29";"0.1132";"11.5793";"55.56";0,5257;"11.4661"
"788";788;"07/13/2022 17:38:29";"0.1146";"11.5825";"55.22";0,5289;"11.4678"
"789";789;"07/13/2022 17:53:29";"0.1112";"11.5791";"54.70";0,521;"11.4680"
"790";790;"07/13/2022 18:08:29";"0.1139";"11.5823";"54.35";0,5272;"11.4684"
"791";791;"07/13/2022 18:23:29";"0.1170";"11.5848";"54.00";0,5342;"11.4678"
"792";792;"07/13/2022 18:38:29";"0.1142";"11.5839";"53.48";0,528;"11.4697"
"793";793;"07/13/2022 18:53:29";"0.1127";"11.5806";"53.30";0,5245;"11.4678"
"794";794;"07/13/2022 19:08:29";"0.1131";"11.5809";"52.78";0,5254;"11.4678"
"795";795;"07/13/2022 19:23:29";"0.1112";"11.5813";"52.60";0,5212;"11.4700"
"796";796;"07/13/2022 19:38:29";"0.1114";"11.5825";"52.25";0,5215;"11.4712"
"797";797;"07/13/2022 19:53:29";"0.1098";"11.5826";"51.90";0,5179;"11.4728"
"798";798;"07/13/2022 20:08:29";"0.1118";"11.5864";"51.55";0,5225;"11.4745"
"799";799;"07/13/2022 20:23:29";"0.1121";"11.5883";"51.20";0,5232;"11.4761"
"800";800;"07/13/2022 20:38:29";"0.1122";"11.5908";"50.84";0,5234;"11.4786"
"801";801;"07/13/2022 20:53:29";"0.1100";"11.5902";"50.49";0,5184;"11.4802"
"802";802;"07/13/2022 21:08:29";"0.1112";"11.5964";"50.14";0,5211;"11.4852"
"803";803;"07/13/2022 21:23:29";"0.1108";"11.5992";"49.96";0,5202;"11.4884"
"804";804;"07/13/2022 21:38:29";"0.1112";"11.6005";"49.60";0,5211;"11.4893"
"805";805;"07/13/2022 21:53:29";"0.1089";"11.6021";"49.43";0,5158;"11.4932"
"806";806;"07/13/2022 22:08:29";"0.1138";"11.6092";"49.25";0,5271;"11.4954"
"807";807;"07/13/2022 22:23:29";"0.1138";"11.6127";"49.07";0,527;"11.4989"
"808";808;"07/13/2022 22:38:29";"0.1120";"11.6087";"48.89";0,5228;"11.4967"
"809";809;"07/13/2022 22:53:29";"0.1100";"11.6053";"48.72";0,5184;"11.4953"
"810";810;"07/13/2022 23:08:29";"0.1124";"11.6084";"48.36";0,5239;"11.4960"
"811";811;"07/13/2022 23:23:29";"0.1107";"11.6078";"48.36";0,5198;"11.4971"
"812";812;"07/13/2022 23:38:29";"0.1103";"11.6069";"48.18";0,5191;"11.4966"
"813";813;"07/13/2022 23:53:29";"0.1116";"11.6091";"48.00";0,5221;"11.4974"
"814";814;"07/14/2022 00:08:29";"0.1103";"11.6088";"47.82";0,5191;"11.4984"
"815";815;"07/14/2022 00:23:29";"0.1114";"11.6085";"47.65";0,5214;"11.4971"
"816";816;"07/14/2022 00:38:29";"0.1103";"11.6070";"47.47";0,519;"11.4967"
"817";817;"07/14/2022 00:53:29";"0.1128";"11.6104";"47.29";0,5248;"11.4976"
"818";818;"07/14/2022 01:08:29";"0.1124";"11.6101";"47.11";0,5238;"11.4977"
"819";819;"07/14/2022 01:23:29";"0.1110";"11.6092";"46.93";0,5207;"11.4982"
"820";820;"07/14/2022 01:38:29";"0.1121";"11.6098";"46.93";0,5231;"11.4977"
"821";821;"07/14/2022 01:53:29";"0.1110";"11.6077";"46.75";0,5206;"11.4967"
"822";822;"07/14/2022 02:08:29";"0.1106";"11.6061";"46.57";0,5197;"11.4955"
"823";823;"07/14/2022 02:23:29";"0.1109";"11.6059";"46.39";0,5204;"11.4950"
"824";824;"07/14/2022 02:38:29";"0.1118";"11.6080";"46.21";0,5224;"11.4963"
"825";825;"07/14/2022 02:53:29";"0.1109";"11.6053";"46.03";0,5204;"11.4944"
"826";826;"07/14/2022 03:08:29";"0.1107";"11.6047";"46.03";0,52;"11.4940"
"827";827;"07/14/2022 03:23:29";"0.1131";"11.6075";"45.85";0,5254;"11.4944"
"828";828;"07/14/2022 03:38:29";"0.1131";"11.6078";"45.67";0,5255;"11.4947"
"829";829;"07/14/2022 03:53:29";"0.1119";"11.6063";"45.49";0,5227;"11.4944"
"830";830;"07/14/2022 04:08:29";"0.1128";"11.6050";"45.49";0,5248;"11.4922"
"831";831;"07/14/2022 04:23:29";"0.1142";"11.6054";"45.31";0,5279;"11.4912"
"832";832;"07/14/2022 04:38:29";"0.1142";"11.6063";"45.12";0,528;"11.4921"
"833";833;"07/14/2022 04:53:29";"0.1146";"11.6069";"45.12";0,5288;"11.4924"
"834";834;"07/14/2022 05:08:29";"0.1121";"11.6042";"44.94";0,5231;"11.4921"
"835";835;"07/14/2022 05:23:29";"0.1138";"11.6066";"44.94";0,5271;"11.4928"
"836";836;"07/14/2022 05:38:29";"0.1149";"11.6076";"44.76";0,5296;"11.4926"
"837";837;"07/14/2022 05:53:29";"0.1143";"11.6088";"44.76";0,5282;"11.4945"
"838";838;"07/14/2022 06:08:29";"0.1150";"11.6101";"44.76";0,5297;"11.4951"
"839";839;"07/14/2022 06:23:29";"0.1144";"11.6101";"44.76";0,5283;"11.4957"
"840";840;"07/14/2022 06:38:29";"0.1147";"11.6104";"44.58";0,5291;"11.4957"
"841";841;"07/14/2022 06:53:29";"0.1146";"11.6092";"44.58";0,5289;"11.4945"
"842";842;"07/14/2022 07:08:29";"0.1160";"11.6085";"44.58";0,5321;"11.4925"
"843";843;"07/14/2022 07:23:29";"0.1134";"11.6064";"44.76";0,5261;"11.4929"
"844";844;"07/14/2022 07:38:29";"0.1135";"11.6082";"44.76";0,5264;"11.4947"
"845";845;"07/14/2022 07:53:29";"0.1133";"11.6097";"44.94";0,5259;"11.4964"
"846";846;"07/14/2022 08:08:29";"0.1125";"11.6110";"44.94";0,5241;"11.4984"
"847";847;"07/14/2022 08:23:29";"0.1109";"11.6100";"45.12";0,5203;"11.4992"
"848";848;"07/14/2022 08:38:29";"0.1125";"11.6131";"45.49";0,524;"11.5006"
"849";849;"07/14/2022 08:53:29";"0.1107";"11.6109";"45.67";0,52;"11.5002"
"850";850;"07/14/2022 09:08:29";"0.1094";"11.6109";"46.03";0,5169;"11.5015"
"851";851;"07/14/2022 09:23:29";"0.1111";"11.6121";"46.39";0,5209;"11.5009"
"852";852;"07/14/2022 09:38:29";"0.1103";"11.6108";"46.75";0,519;"11.5005"
"853";853;"07/14/2022 09:53:29";"0.1110";"11.6113";"47.11";0,5207;"11.5003"
"854";854;"07/14/2022 10:08:29";"0.1127";"11.6153";"47.65";0,5244;"11.5027"
"855";855;"07/14/2022 10:23:29";"0.1110";"11.6125";"48.18";0,5206;"11.5015"
"856";856;"07/14/2022 10:38:29";"0.1127";"11.6152";"48.72";0,5245;"11.5025"
"857";857;"07/14/2022 10:53:29";"0.1132";"11.6142";"49.60";0,5257;"11.5009"
"858";858;"07/14/2022 11:08:29";"0.1147";"11.6169";"50.14";0,529;"11.5022"
"859";859;"07/14/2022 11:23:29";"0.1162";"11.6177";"50.67";0,5326;"11.5015"
"860";860;"07/14/2022 11:38:29";"0.1202";"11.6217";"51.20";0,5417;"11.5015"
"861";861;"07/14/2022 11:53:29";"0.1170";"11.6195";"51.72";0,5342;"11.5025"
"862";862;"07/14/2022 12:08:29";"0.1171";"11.6181";"52.43";0,5345;"11.5011"
"863";863;"07/14/2022 12:23:29";"0.1188";"11.6190";"53.30";0,5384;"11.5002"
"864";864;"07/14/2022 12:38:29";"0.1162";"11.6142";"54.17";0,5325;"11.4980"
"865";865;"07/14/2022 12:53:29";"0.1192";"11.6175";"55.04";0,5394;"11.4983"
"866";866;"07/14/2022 13:08:29";"0.1157";"11.6143";"55.74";0,5315;"11.4986"
"867";867;"07/14/2022 13:23:29";"0.1157";"11.6133";"56.60";0,5314;"11.4976"
"868";868;"07/14/2022 13:38:29";"0.1159";"11.6132";"57.30";0,5319;"11.4973"
"869";869;"07/14/2022 13:53:29";"0.1156";"11.6119";"57.99";0,5312;"11.4963"
"870";870;"07/14/2022 14:08:29";"0.1145";"11.6106";"58.33";0,5286;"11.4961"
"871";871;"07/14/2022 14:23:29";"0.1186";"11.6100";"58.68";0,538;"11.4913"
"872";872;"07/14/2022 14:38:29";"0.1179";"11.6106";"58.68";0,5365;"11.4926"
"873";873;"07/14/2022 14:53:29";"0.1178";"11.6087";"58.68";0,5362;"11.4909"
"874";874;"07/14/2022 15:08:29";"0.1178";"11.6060";"58.51";0,5362;"11.4881"
"875";875;"07/14/2022 15:23:29";"0.1167";"11.6038";"58.33";0,5336;"11.4871"
"876";876;"07/14/2022 15:38:29";"0.1170";"11.6048";"58.16";0,5344;"11.4877"
"877";877;"07/14/2022 15:53:29";"0.1142";"11.6011";"57.82";0,528;"11.4868"
"878";878;"07/14/2022 16:08:29";"0.1176";"11.6020";"57.64";0,5358;"11.4844"
"879";879;"07/14/2022 16:23:29";"0.1146";"11.5996";"57.30";0,5289;"11.4850"
"880";880;"07/14/2022 16:38:29";"0.1142";"11.5965";"56.95";0,5279;"11.4823"
"881";881;"07/14/2022 16:53:29";"0.1174";"11.5984";"56.60";0,5352;"11.4810"
"882";882;"07/14/2022 17:08:29";"0.1142";"11.5944";"56.43";0,528;"11.4802"
"883";883;"07/14/2022 17:23:29";"0.1143";"11.5936";"55.91";0,5281;"11.4793"
"884";884;"07/14/2022 17:38:29";"0.1151";"11.5942";"55.56";0,5299;"11.4792"
"885";885;"07/14/2022 17:53:29";"0.1148";"11.5940";"55.04";0,5293;"11.4792"
"886";886;"07/14/2022 18:08:29";"0.1141";"11.5953";"54.70";0,5276;"11.4812"
"887";887;"07/14/2022 18:23:29";"0.1143";"11.5941";"54.35";0,5282;"11.4797"
"888";888;"07/14/2022 18:38:29";"0.1106";"11.5901";"53.82";0,5198;"11.4794"
"889";889;"07/14/2022 18:53:29";"0.1131";"11.5923";"53.65";0,5255;"11.4792"
"890";890;"07/14/2022 19:08:29";"0.1136";"11.5939";"53.13";0,5265;"11.4803"
"891";891;"07/14/2022 19:23:29";"0.1121";"11.5927";"52.78";0,5231;"11.4806"
"892";892;"07/14/2022 19:38:29";"0.1137";"11.5949";"52.60";0,5268;"11.4812"
"893";893;"07/14/2022 19:53:29";"0.1112";"11.5943";"52.25";0,5212;"11.4831"
"894";894;"07/14/2022 20:08:29";"0.1112";"11.5950";"51.90";0,521;"11.4838"
"895";895;"07/14/2022 20:23:29";"0.1123";"11.5981";"51.55";0,5236;"11.4858"
"896";896;"07/14/2022 20:38:29";"0.1074";"11.5957";"51.20";0,5124;"11.4883"
"897";897;"07/14/2022 20:53:29";"0.1093";"11.5994";"50.84";0,5167;"11.4902"
"898";898;"07/14/2022 21:08:29";"0.1108";"11.6032";"50.49";0,5203;"11.4924"
"899";899;"07/14/2022 21:23:29";"0.1085";"11.6026";"50.14";0,515;"11.4941"
"900";900;"07/14/2022 21:38:29";"0.1094";"11.6042";"49.96";0,5169;"11.4948"
"901";901;"07/14/2022 21:53:29";"0.1096";"11.6049";"49.60";0,5174;"11.4953"
"902";902;"07/14/2022 22:08:29";"0.1095";"11.6058";"49.43";0,5173;"11.4963"
"903";903;"07/14/2022 22:23:29";"0.1087";"11.6059";"49.07";0,5154;"11.4971"
"904";904;"07/14/2022 22:38:29";"0.1119";"11.6080";"48.89";0,5227;"11.4961"
"905";905;"07/14/2022 22:53:29";"0.1086";"11.6038";"48.54";0,5152;"11.4951"
"906";906;"07/14/2022 23:08:29";"0.1096";"11.6047";"48.36";0,5174;"11.4951"
"907";907;"07/14/2022 23:23:29";"0.1086";"11.6032";"48.18";0,5152;"11.4945"
"908";908;"07/14/2022 23:38:29";"0.1102";"11.6047";"48.00";0,5188;"11.4945"
"909";909;"07/14/2022 23:53:29";"0.1083";"11.6014";"47.82";0,5144;"11.4931"
"910";910;"07/15/2022 00:08:29";"0.1080";"11.6017";"47.65";0,5138;"11.4937"
"911";911;"07/15/2022 00:23:29";"0.1099";"11.6039";"47.47";0,5182;"11.4940"
"912";912;"07/15/2022 00:38:29";"0.1098";"11.6054";"47.29";0,5178;"11.4957"
"913";913;"07/15/2022 00:53:29";"0.1104";"11.6064";"47.11";0,5193;"11.4960"
"914";914;"07/15/2022 01:08:29";"0.1108";"11.6073";"46.93";0,5201;"11.4966"
"915";915;"07/15/2022 01:23:29";"0.1106";"11.6073";"46.93";0,5198;"11.4967"
"916";916;"07/15/2022 01:38:29";"0.1108";"11.6089";"46.75";0,5201;"11.4982"
"917";917;"07/15/2022 01:53:29";"0.1095";"11.6074";"46.57";0,5173;"11.4979"
"918";918;"07/15/2022 02:08:29";"0.1096";"11.6068";"46.57";0,5175;"11.4971"
"919";919;"07/15/2022 02:23:29";"0.1108";"11.6065";"46.39";0,5201;"11.4957"
"920";920;"07/15/2022 02:38:29";"0.1100";"11.6052";"46.39";0,5183;"11.4953"
"921";921;"07/15/2022 02:53:29";"0.1125";"11.6087";"46.21";0,5241;"11.4961"
"922";922;"07/15/2022 03:08:29";"0.1099";"11.6080";"46.21";0,5181;"11.4982"
"923";923;"07/15/2022 03:23:29";"0.1099";"11.6071";"46.03";0,518;"11.4973"
"924";924;"07/15/2022 03:38:29";"0.1111";"11.6078";"46.03";0,5207;"11.4967"
"925";925;"07/15/2022 03:53:29";"0.1085";"11.6068";"45.85";0,515;"11.4983"
"926";926;"07/15/2022 04:08:29";"0.1117";"11.6106";"45.85";0,5222;"11.4989"
"927";927;"07/15/2022 04:23:29";"0.1121";"11.6121";"45.67";0,5231;"11.5000"
"928";928;"07/15/2022 04:38:29";"0.1131";"11.6128";"45.67";0,5255;"11.4996"
"929";929;"07/15/2022 04:53:29";"0.1100";"11.6152";"45.67";0,5183;"11.5053"
"930";930;"07/15/2022 05:08:29";"0.1109";"11.6187";"45.49";0,5204;"11.5077"
"931";931;"07/15/2022 05:23:29";"0.1102";"11.6193";"45.49";0,5189;"11.5090"
"932";932;"07/15/2022 05:38:29";"0.1117";"11.6221";"45.31";0,5223;"11.5103"
"933";933;"07/15/2022 05:53:29";"0.1109";"11.6202";"45.31";0,5204;"11.5093"
"934";934;"07/15/2022 06:08:29";"0.1134";"11.6212";"45.12";0,5262;"11.5077"
"935";935;"07/15/2022 06:23:29";"0.1118";"11.6205";"45.12";0,5225;"11.5087"
"936";936;"07/15/2022 06:38:29";"0.1094";"11.6199";"45.12";0,5171;"11.5105"
"937";937;"07/15/2022 06:53:29";"0.1115";"11.6230";"45.12";0,5218;"11.5115"
"938";938;"07/15/2022 07:08:29";"0.1113";"11.6221";"44.94";0,5214;"11.5108"
"939";939;"07/15/2022 07:23:29";"0.1110";"11.6234";"44.94";0,5206;"11.5124"
"940";940;"07/15/2022 07:38:29";"0.1103";"11.6246";"44.94";0,5191;"11.5143"
"941";941;"07/15/2022 07:53:29";"0.1115";"11.6267";"45.12";0,5217;"11.5153"
"942";942;"07/15/2022 08:08:29";"0.1106";"11.6270";"45.31";0,5197;"11.5164"
"943";943;"07/15/2022 08:23:29";"0.1105";"11.6283";"45.31";0,5196;"11.5177"
"944";944;"07/15/2022 08:38:29";"0.1097";"11.6286";"45.49";0,5176;"11.5189"
"945";945;"07/15/2022 08:53:29";"0.1073";"11.6267";"45.85";0,5122;"11.5193"
"946";946;"07/15/2022 09:08:29";"0.1075";"11.6276";"46.03";0,5127;"11.5201"
"947";947;"07/15/2022 09:23:29";"0.1100";"11.6312";"46.39";0,5184;"11.5212"
"948";948;"07/15/2022 09:38:29";"0.1081";"11.6293";"46.75";0,5141;"11.5212"
"949";949;"07/15/2022 09:53:29";"0.1067";"11.6299";"47.11";0,5108;"11.5232"
"950";950;"07/15/2022 10:08:29";"0.1084";"11.6308";"47.65";0,5147;"11.5224"
"951";951;"07/15/2022 10:23:29";"0.1107";"11.6326";"48.00";0,5199;"11.5219"
"952";952;"07/15/2022 10:38:29";"0.1094";"11.6325";"48.72";0,517;"11.5231"
"953";953;"07/15/2022 10:53:29";"0.1117";"11.6349";"49.43";0,5222;"11.5232"
"954";954;"07/15/2022 11:08:29";"0.1112";"11.6361";"50.14";0,5212;"11.5248"
"955";955;"07/15/2022 11:23:29";"0.1127";"11.6397";"50.49";0,5246;"11.5270"
"956";956;"07/15/2022 11:38:29";"0.1134";"11.6391";"50.84";0,5261;"11.5257"
"957";957;"07/15/2022 11:53:29";"0.1142";"11.6378";"51.55";0,528;"11.5235"
"958";958;"07/15/2022 12:08:29";"0.1126";"11.6358";"52.25";0,5242;"11.5232"
"959";959;"07/15/2022 12:23:29";"0.1144";"11.6376";"52.95";0,5283;"11.5232"
"960";960;"07/15/2022 12:38:29";"0.1097";"11.6350";"54.00";0,5177;"11.5253"
"961";961;"07/15/2022 12:53:29";"0.1149";"11.6386";"54.70";0,5296;"11.5237"
"962";962;"07/15/2022 13:08:29";"0.1148";"11.6376";"55.56";0,5293;"11.5228"
"963";963;"07/15/2022 13:23:29";"0.1147";"11.6359";"56.43";0,5292;"11.5212"
"964";964;"07/15/2022 13:38:29";"0.1176";"11.6359";"57.12";0,5356;"11.5183"
"965";965;"07/15/2022 13:53:29";"0.1142";"11.6327";"57.82";0,528;"11.5185"
"966";966;"07/15/2022 14:08:29";"0.1142";"11.6320";"58.16";0,5278;"11.5179"
"967";967;"07/15/2022 14:23:29";"0.1126";"11.6295";"58.51";0,5244;"11.5169"
"968";968;"07/15/2022 14:38:29";"0.1147";"11.6301";"58.51";0,5291;"11.5154"
"969";969;"07/15/2022 14:53:29";"0.1152";"11.6283";"58.51";0,5302;"11.5131"
"970";970;"07/15/2022 15:08:29";"0.1129";"11.6267";"58.33";0,525;"11.5138"
"971";971;"07/15/2022 15:23:29";"0.1141";"11.6240";"58.16";0,5276;"11.5099"
"972";972;"07/15/2022 15:38:29";"0.1134";"11.6224";"57.99";0,5261;"11.5090"
"973";973;"07/15/2022 15:53:29";"0.1137";"11.6219";"57.64";0,5268;"11.5082"
"974";974;"07/15/2022 16:08:29";"0.1140";"11.6216";"57.47";0,5275;"11.5076"
"975";975;"07/15/2022 16:23:29";"0.1113";"11.6173";"57.12";0,5213;"11.5060"
"976";976;"07/15/2022 16:38:29";"0.1114";"11.6179";"56.78";0,5215;"11.5066"
"977";977;"07/15/2022 16:53:29";"0.1096";"11.6149";"56.43";0,5175;"11.5053"
"978";978;"07/15/2022 17:08:29";"0.1110";"11.6158";"56.26";0,5206;"11.5048"
"979";979;"07/15/2022 17:23:29";"0.1126";"11.6159";"55.91";0,5244;"11.5032"
"980";980;"07/15/2022 17:38:29";"0.1091";"11.6125";"55.39";0,5164;"11.5034"
"981";981;"07/15/2022 17:53:29";"0.1104";"11.6113";"55.04";0,5193;"11.5009"
"982";982;"07/15/2022 18:08:29";"0.1111";"11.6123";"54.52";0,5209;"11.5012"
"983";983;"07/15/2022 18:23:29";"0.1074";"11.6080";"54.17";0,5124;"11.5006"
"984";984;"07/15/2022 18:38:29";"0.1079";"11.6087";"53.82";0,5136;"11.5008"
"985";985;"07/15/2022 18:53:29";"0.1079";"11.6100";"53.48";0,5135;"11.5021"
"986";986;"07/15/2022 19:08:29";"0.1050";"11.6072";"52.95";0,507;"11.5022"
"987";987;"07/15/2022 19:23:29";"0.1051";"11.6085";"52.60";0,5073;"11.5034"
"988";988;"07/15/2022 19:38:29";"0.1073";"11.6123";"52.25";0,5122;"11.5050"
"989";989;"07/15/2022 19:53:29";"0.1069";"11.6136";"51.90";0,5112;"11.5067"
"990";990;"07/15/2022 20:08:29";"0.1061";"11.6142";"51.55";0,5094;"11.5082"
"991";991;"07/15/2022 20:23:29";"0.1079";"11.6180";"51.20";0,5136;"11.5101"
"992";992;"07/15/2022 20:38:29";"0.1071";"11.6180";"50.84";0,5117;"11.5109"
"993";993;"07/15/2022 20:53:29";"0.1063";"11.6212";"50.49";0,51;"11.5148"
"994";994;"07/15/2022 21:08:29";"0.1076";"11.6243";"50.14";0,5128;"11.5167"
"995";995;"07/15/2022 21:23:29";"0.1065";"11.6259";"49.96";0,5105;"11.5193"
"996";996;"07/15/2022 21:38:29";"0.1084";"11.6290";"49.60";0,5146;"11.5206"
"997";997;"07/15/2022 21:53:29";"0.1071";"11.6293";"49.43";0,5118;"11.5222"
"998";998;"07/15/2022 22:08:29";"0.1102";"11.6340";"49.25";0,5188;"11.5238"
