Comments Form,,,,,,,,,,
Date,Reach #,SO,Channel Unit and Type ,Waypoint name,Latitude/Northing,Longitude/Easting,Zone:,Datum:,Comments,Site description
6/24/2015,MC5-555,241,SSMC1,MSO241,0334079,4599792,11,NAD 83,Small pool. Couple charred aspen above bankfull. Eroding banks outside of floodplain. Undercut banks stable. Outside of wetted width within bankfull.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/24/2015,MC5-555,242,FTRF1,MSO242,0334074,4599797,11,NAD 83,Small riffle. Stable banks. Edges outside of wetted width and within bankfull are mostly sand and silt - deposition over gravels.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/24/2015,MC5-555,243,SSMC2,MSO243,0334084,4599806,11,NAD 83,Small pool - water level low - hard to tell if LS or MC pool. Undercut banks are not stable. Talus on outer edge of right bank vegetation. Cheatgrass dominant GF on right bank.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/24/2015,MC5-555,244,FTRF2,MSO244,0334080,4599810,11,NAD 83,Small riffle - may be a run in higher water. Water mostly under undercut bank so high shade.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/24/2015,MC5-555,245,SSLS3,MSO245,0334090,4599818,11,NAD 83,Pool with undercut right bank.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,246,FTRF3,MSO246,0334088,4599810,11,NAD 83,Riffle - large undercut on left bank. Shade created from bank counted as riparian shade in solar reading. Log running parallel to channel in stream for most of unit.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,247,SSLS4,MSO247,0334087,4599794,11,NAD 83,Small pool with wood cover. Same log from FTRF3 running through unit. Large undercut and erosion on left bank.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,248,FTRF4,MSO248,0334087,4599790,11,NAD 83,,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,249,SSLS5,MSO249,0334096,4599786,11,NAD 83,Deep undercut on left bank above pool.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,250,FTRF5,MSO250,0334096,4599786,11,NAD 83,GPS point did not have accuracy - end of riffle about 3 m upstream. Small chunk of run habitat in riffle about 35%.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/24/2015,MC5-555,251,SSLS6,MSO251,0334094,4599786,11,NAD 83,Extremely silt-laden substrate in pool.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/24/2015,MC5-555,252,FNRN6,MSO252,0334105,4599793,11,NAD 83,,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/24/2015,MC5-555,253,FTRF7,MSO253,0334108,4599794,11,NAD 83,Percent of pool habitat about 5%. Stable island according to definition in protocol - dominated by HW. Measurements on channel unit form for side channel (SIDEF1 SO261). See additonal comments in SIDEF1 section.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,254,SIDEF1,MSO254,NA,NA,11,NAD 83,"4-m undercut bank in side channel in FTRF7, SO253.",General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/24/2015,MC5-555,255,SSLS7,MSO255,0334127,4599812,11,NAD 83,Wetted width wider than unit length due to extreme undercut on both banks. Significant habitat change.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,256,FTRF8,MSO256,0334128,4599813,11,NAD 83,Percent pool - 5% - in undercut.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,257,FNRN9,MSO257,0334135,4599818,11,NAD 83,,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,258,FTRF10,MSO258,0334140,4599817,11,NAD 83,,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,256,SSPL8,MSO259,0334146,4599823,11,NAD 83,Plunge pool - jump height = 0.11 m. Bankfull height higher than normal due to plunge pool and boulders armoring pool sides.,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,260,SSLS9,MSO260,0334147,4599821,11,NAD 83,,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,261,FTRF11,MSO261,0334149,4599823,11,NAD 83,,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,MC5-555,NA,NA,MC555 END,0334154,4599828,11,NAD 83,,General comment: area burned in early 2000. Burnt woody debris around stream. Reach moves through a canyon with walls sloping to stream at 10-35% slope. High % of NV due to leaf litter.
6/25/2015,SCC1-069,5001,FTRF1,SCSO5001,0334116,4599506,11,NAD 83,Long riffle - started at GAWS monument marker.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5002,SSLS1,SCSO5002,0334161,4599506,11,NAD 83,Deep pool with willow roots in channel.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5003,FTRF2,SCSO5003,0334166,4599508,11,NAD 83,Long riffle with 3 m of run habitat.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5004,SSLS2,SCSO5004,0334179,4599489,11,NAD 83,Small fish using undercut.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5005,FTRF3,SCSO5005,0334179,4599484,11,NAD 83,Small pool in riffle caused by wood pile ~1 m long.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5006,SSMC3,SCSO5006,0334194,4599460,11,NAD 83,Pool created by wood in channel.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5007,FTRF4,SCSO5007,0334197,4599463,11,NAD 83,,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5008,SSMC4,SCSO5008,0334204,4599458,11,NAD 83,,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5009,FTRF5,SCSO5009,0334204,4599454,11,NAD 83,Undercut bank partially unstable point bar beginning to veg (?).,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5010,SSLS5,SCSO5010,0334207,4599451,11,NAD 83,Unstable left bank. Aspen roots exposed. No access to flood plain on left bank.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5011,FTRF6,SCSO5011,0334109,4599450,11,NAD 83,Small run. Unstable island in center with sparse sedges.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5012,FNRN7,SCSO5012,0334205,4599453,11,NAD 83,Overgrown with woddy shrubs.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5013,FTRF8,SCSO5013,0334207,4599453,11,NAD 83,Obscured by woody shrubs. Talus slope within 10 m.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5014,SSPL6,SCSO5014,0334210,4599460,11,NAD 83,Plunge pool - heavily shaded with veg.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5015,FTRF9,SCSO5015,1334212,4599450,11,NAD 83,Long riffle.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5016,SSMC7,SCSO5016,0334244,4599428,11,NAD 83,Pool complex. A couple small and one larger.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5017,FTRF10,SCSO5017,0334246,4599421,11,NAD 83,Riffle with 2-m run.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5018,SSLS8,SCSO5018,0334253,4599428,11,NAD 83,2-pool complex - 1 larger and 1 small pool.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5019,FNRN11,SCSO5019,0334257,4599417,11,NAD 83,"Creek disappears under wayyyy undercut bank. Some debris. Large, but doesn't meet protocol requirements.","Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,5020,SSLS9,SCSO5020,0334259,4599414,11,NAD 83,,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/25/2015,SCC1-069,NA,NA,SC1069END,0334259,4599411,11,NAD 83,End at top of pool - riffle upstream.,"Starts at GAWS marker. SCC just above confluence. Heavy aspen cover. Road runs ~8-20 m from left bank. Very entrenched - several terraces and very steep high walls. Many downed aspen across stream and several willows in water. Downed aspen = large old ones; live ones = mostly small, some medium. Vegetation on both banks. High, steep talus slope coming down to right bank."
6/30/2015,SCC4-15-7,5121,SSLS1,SCSO5121,0334764,4596667,11,NAD 83,"Formed by several factors 0 gradient change (sudden), slight bend, and willow in channel. Pool stabilized by boulder at lower end. Moss just above wetted channel.","0.14 miles up from SCC4 division. Park in small meadow turnout on right surrounded by wooden vence. End at pool ~8 meters below large tire on RB and just above 2 large aspen logs across stream. Lots of big ""mosquito moths."" Lots of moss on rocks. Large ants on the wood. Lots of fallen aspen logs. Lots of nettles! Lots of unstable islands. Lots of boulder and wood on banks make it difficult to determine BF height above water. Seems entrenched (based on floodprone width). Reach begins in a wide, sloping meadow (meadow outside of aspen stream corridor) with lots of aspen and mountain sage. Streambank has lots of water hemlock, corn lily, and nettle (watch out!). Summer Camp's creek exclosure fence begins at about the same location as survey reach (wood fence). Near bottom of reach, sagebrush have died as aspen shaded them out. By SO5130, the meadow has narrowed. Sagebrush slopes are steeper, and bottom is filling with aspen. At SO5133, steep hill on left bank cuts off floodplain. Hill covered in cobble/small boulders (loose). A lot of down mature aspen as SO numbers increase. At SO5139, large mature aspen fell across stream, breaking/splitting when it hit the right bank. The left bank remains steep and with lots of leaf litter and loose rock; diconnected floodplain. Right bank begins to open up some, and the structures of Summer Camp are visible (along with trash) at the end of the reach."
6/30/2015,SCC4-15-7,5122,FTRF1,SCSO5122,0334764,4596665,11,NAD 83,Unstable island with riparian grasses. Boulders on upper half or unit along banks before it becomes rapids in next unit. Moss just above wetted channel. Higher sand at upper end of unit. WOLMAN unit.,
6/30/2015,SCC4-15-7,5123,FTRP2,SCSO5123,0664772,4596660,11,NAD 83,"LWD in adjacent meadow on left bank. 1 huge and 1 large aspen fallen over creek with boles above BF, but large branches in creek. FLOW unit.",
6/30/2015,SCC4-15-7,5124,FTRF3,SCSO5124,0334769,4596631,11,NAD 83,"Unstable island with moss, grass, nettle, corn lily, hemlock.",
6/30/2015,SCC4-15-7,5125,SSLS2,SCSO5125,0334779,4596616,11,NAD 83,4-in fish observed. Parked ~30 m from this unit. Nice low right bank with masses of sedges. Bankfull on right bank ends at an aspen root mass terrace.,
6/30/2015,SCC4-15-7,5126,FTRF4,SCSO5126,0334778,4596622,11,NAD 83,"Not quite a rapid, but a steep riffle with cobbles exposed. Bankfull  increases as the unit nears the next pool upstream. LWD on left side in meadow. 1 fish, but likely same one we flushed out of last unit.",
6/30/2015,SCC4-15-7,5127,SSMC3,SCSO5127,0334770,4596606,11,NAD 83,Bankfull width wide at pool.,
6/30/2015,SCC4-15-7,5128,FTRP5,SCSO5128,0334774,4596610,11,NAD 83,LWD on both sides in meadow. Snags standing on left side. A couple vert large aspen mixed with poles and saplings.,
6/30/2015,SCC4-15-7,5129,SSPL4,SCSO5129,0334767,4596600,11,NAD 83,"Accuracy only 20' on GPS. Debris pile forming unstable island with vegetation (nettle, monkey flower), held in place by larger woody debris.",
6/30/2015,SCC4-15-7,5130,FTRF6,SCSO5130,0334769,4596600,11,NAD 83,"Mature aspen are more numberous than in lower units, but many sapling/pole are around them. Floodplain narrowing; hills closing in.",
6/30/2015,SCC4-15-7,5131,SSLS5,SCSO5131,0334771,4596587,11,NAD 83,Mature aspen surrounded by saplings/poles. Stream drops sharply away from floodplain on left bank. Almost a plunge pool - majority of water flowing through channel formed by boulders with less than 1/3 of flow going around boulder on right side. Moss on boulders above wetted width.,
6/30/2015,SCC4-15-7,5132,FTRF7,SCSO5132,0334765,4596588,11,NAD 83,"One unstable island colonized by grass and nettles at upper end of unit. Large mature aspen down across lower end of unit, but not affecting flow (above). Large mature aspen down on right bank in riparian area.",
6/30/2015,SCC4-15-7,5133,FTRP8,SCSO5133,0334780,4596565,11,NAD 83,"Steep hill on left bank, covered in dense leaf litter for most of riparian area. Mature aspen present on both banks. Large mature down aspen in right riparian area.",
6/30/2015,SCC4-15-7,5134,SSMC6,SCSO5134,0334790,4596543,11,NAD 83,Pool complex (2) created by bouleers. Left bank steep hill and leaf litter continue. Deep undercut right bank.,
6/30/2015,SCC4-15-7,5135,FTRP9,SCSO5135,0334789,4596555,11,NAD 83,"Channel incised - apparent by aspen growing out over and up away from channel. Lots of nettles. Post (corner?) for Summer Camp exclosure. Right bank - historic stream channel. Several unstable islands throughout channel unit colonized by grasses, moss, and nettles. Considered a braided channel for ~2 m.",
6/30/2015,SCC4-15-7,5136,FTRF10,SCSO5136,0334805,4596547,11,NAD 83,Channel incised. Lots of down mature aspen laying on steep left bank. Historic channel on right bank. Unstable island colonized with grasses. Unstable banks on left bank are leaving aspen roots exposed.,
6/30/2015,SCC4-15-7,5137,SSLS7,SCSO5137,0334807,4596539,11,NAD 83,"Pool complex formed by rapids turning into riffles. Several rock ""crest"" form pools within channel. Large mature aspen down across (above) channel. Steep left bank, leaf litter and disconnected floodplain continue.",
6/30/2015,SCC4-15-7,5138,FTRP11,SCSO5138,0334806,4596533,11,NAD 83,"Several down mature aspen on steep left bank, some crossing or into channel. Steep left bank, leaf litter, and diconnected floodplain continue. Old rusty barrel on right bank.",
6/30/2015,SCC4-15-7,5139,SSLS8,SCSO5139,0334826,4596538,11,NAD 83,Left bank continues to be steep and disconnected from stream. Pool complex (2). Large mature aspen (2) across (above) pools. Some mature aspen mixed with saplings on right bank.,
6/30/2015,SCC4-15-7,5140,FTRP12,SCSO5140,0334811,4596524,11,NAD 83,Right bank really opens up - a bit upward sloping. Top of unit at edge of Summer Camp's left bank continues to be steep. Pool above rapid formed by board across stream. Some mature aspen mixed with saplings on right bank.,
6/30/2015,SCC4-15-7,NA,NA,SCC15-7END,0334812,4596519,11,NAD 83,,
6/30/2015,SCC5-15-8,5151,SSPL1,SCC5151,0331899,4595736,11,NAD 83,"Small pool; small riffle section within bank full, split channel.","Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5152,FTRF1,SCC5152,0334903,4595739,11,NAD 83,"Left side: fairly open, few trees or large shrubs, grassy, average 10 m from bank for most of the unit.","Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5153,SIDEF1,SCC5153,NA,NA,11,NAD 83,NA,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5154,SSPL2,SCC5154,0334914,4595721,11,NAD 83,Large log laying above bankfull over pool. Complex of 2 small pools.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5155,FTRF2,SCC5155,0334920,4595719,11,NAD 83,Nothing special to report.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5156,SSPL3,SCC5156,1334922,4595702,11,NAD 83,Complex of 2 pools - upper pool smaller. 150 mm stream resident fish seen at end of survey after flow measurements.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5157,FTRP3,SCC5157,0334927,4595706,11,NAD 83,More open for the first 3-5 m on both banks. This is the first unit in a rapid setion.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5158,SSPL4,SCC5158,0334924,4595667,11,NAD 83,Pool complex of 2 pools; upper pool is plunge pool.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5159,SSPL5,SCC5159,0334923,4595666,11,NAD 83,Same as above.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5160,SSPL6,SCC5160,0334930,4595672,11,NAD 83,Pool complex with 3 small pools; first pool is plunge; 40% of unit is riffley; lots of pics because combined 2 units.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5161,FTRP4,SCC5161,0334932,4595667,11,NAD 83,Nothing stands out.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5162,SSPL7,SCC5162,0334940,4595640,11,NAD 83,Single pool.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5163,FTRP5,SCC5163,0334940,4595643,11,NAD 83,Rapid before cascade.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5164,FTCC6,SCC5164,0334952,4594638,11,NAD 83,2 small pools in this cascade.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5165,FTRP7,SCC5165,0334946,4595644,11,NAD 83,Vegetation (GF) encroaching stream. Relatively open the first couple meters on each bank.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5166,SSPL8,SCC5166,0334951,4595624,11,NAD 83,Same as above comment (5165).,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5167,FTRP8,SCC5167,0334956,4595631,11,NAD 83,"Same as below 2 comments (5168 and 5169). Also, a few dead downed trees on right bank.","Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5168,SSMC9,SCC5168,0334967,4595614,11,NAD 83,Same as below comment for 5169.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5169,FTRP9,SCC5169,0334959,4595612,11,NAD 83,Aspens right up to left bank edge; more open on right side - aspens start about 1-2 m.,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,5170,SSLS10,SCC5170,0334969,4595618,11,NAD 83,"Pool complex: 2 small pools, both lateral scours.","Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/30/2015,SCC5-15-8,NA,NA,,,,,,NEED TO GET COORDINATES FOR END POINT,"Montane, higher gradient creek. Lots of foliage: GF, SR, HQ on both banks and starting at banks. Lots of shade."
6/26/2015,MC2-326,91,FNRN1,MSO91,0331872,4601235,11,NAD 83,,"Dense willow cover over stream. High percent rose/sagebrush cover on left bank. Sagebrush farther out on left bank. Wide valley left bank (~100+ m?). Dense willow extends out on right bank. Site has heavy veg cover - willow and rose. Stream is narrower than in upstream aspen site. Seems entrenched - riparian area does not rise very steeply, but as soon as you get out of the willows, it's all grasses and woody shrubs on both sides. Banks drop sharply into water and there could be several bankfull terraces. Mostly grasses along banks. Many willows in water. Valley is not quickly confined by any steep slopes."
6/26/2015,MC2-326,92,SSLS1,MSO92,0331874,4601231,11,NAD 83,Deep pool. Fairly long.,"Dense willow cover over stream. High percent rose/sagebrush cover on left bank. Sagebrush farther out on left bank. Wide valley left bank (~100+ m?). Dense willow extends out on right bank. Site has heavy veg cover - willow and rose. Stream is narrower than in upstream aspen site. Seems entrenched - riparian area does not rise very steeply, but as soon as you get out of the willows, it's all grasses and woody shrubs on both sides. Banks drop sharply into water and there could be several bankfull terraces. Mostly grasses along banks. Many willows in water. Valley is not quickly confined by any steep slopes."
6/26/2015,MC2-326,93,FTRF2,MSO93,0331883,4601231,11,NAD 83,Willows on the right.,"Dense willow cover over stream. High percent rose/sagebrush cover on left bank. Sagebrush farther out on left bank. Wide valley left bank (~100+ m?). Dense willow extends out on right bank. Site has heavy veg cover - willow and rose. Stream is narrower than in upstream aspen site. Seems entrenched - riparian area does not rise very steeply, but as soon as you get out of the willows, it's all grasses and woody shrubs on both sides. Banks drop sharply into water and there could be several bankfull terraces. Mostly grasses along banks. Many willows in water. Valley is not quickly confined by any steep slopes."
6/26/2015,MC2-326,94,SSLS2,MSO94,0331890,4601229,11,NAD 83,Pool with small wetted width but deep and large undercut bank.,"Dense willow cover over stream. High percent rose/sagebrush cover on left bank. Sagebrush farther out on left bank. Wide valley left bank (~100+ m?). Dense willow extends out on right bank. Site has heavy veg cover - willow and rose. Stream is narrower than in upstream aspen site. Seems entrenched - riparian area does not rise very steeply, but as soon as you get out of the willows, it's all grasses and woody shrubs on both sides. Banks drop sharply into water and there could be several bankfull terraces. Mostly grasses along banks. Many willows in water. Valley is not quickly confined by any steep slopes."
6/26/2015,MC2-326,95,FTRF3,MSO95,0331888,4601230,11,NAD 83,Rose and grass on left. Willow and grass on right.,"Dense willow cover over stream. High percent rose/sagebrush cover on left bank. Sagebrush farther out on left bank. Wide valley left bank (~100+ m?). Dense willow extends out on right bank. Site has heavy veg cover - willow and rose. Stream is narrower than in upstream aspen site. Seems entrenched - riparian area does not rise very steeply, but as soon as you get out of the willows, it's all grasses and woody shrubs on both sides. Banks drop sharply into water and there could be several bankfull terraces. Mostly grasses along banks. Many willows in water. Valley is not quickly confined by any steep slopes."
